Keyword,Related,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
truck accessories for men,0.1,40,37,0.34,0.94,65600000,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products","0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,1.00,0.18,0.18"
vehicle parts online,0.1,40,93,0.94,0.72,638000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, People also ask, Related searches","1.00,1.00,0.67,1.00,0.67,0.83,0.83,0.33,0.33,0.33,1.00,0.33"
2017 mazda cx 5 accessories,0.05,40,20,0.43,1,85,Commercial,"Reviews, Image, Video, People also ask, Related searches, Popular products, Ads bottom","0.29,0.29,0.43,0.43,0.43,1.00,1.00,0.29,0.71,0.29,0.71,0.29"
2018 mazda 3 accessories,0.05,40,32,0.29,0.99,92,Commercial,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom","0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00,1.00,0.17,0.17,0.17"
accessories place near me,0.05,40,50,0,0.11,700000000,Transactional,"Indented, Local pack, Related searches","0.18,0.63,0.18,0.18,1.00,0.81,0.81,0.18,0.18,0.18,0.18,0.18"
advance auto parts car accessories,0.05,40,64,0,0.86,45,Navigational,"Site links, Reviews, Indented, Image, Image pack, People also ask, Local pack, Knowledge panel, Related searches","0.22,0.22,0.22,0.22,0.22,1.00,1.00,0.78,0.44,0.22,0.22,0.22"
aftermarket vehicle parts,0.05,40,83,0.58,0.45,79100000,Commercial,"Site links, FAQ, Reviews, Indented, Image, Video, People also ask, Local pack, Related searches","0.18,0.27,0.27,0.45,1.00,0.27,0.36,0.27,0.36,0.27,0.36,0.36"
aito parts store,0.05,40,100,0.54,0.33,71,Commercial,"Site links, Indented, Image, Image pack, Video, Video carousel, Local pack, Related searches","0.71,0.56,0.56,0.56,0.12,0.71,0.41,0.71,0.00,1.00,0.56,0.71"
and accesories,0.05,40,89,0,0.03,1910000000,Commercial,"Indented, Image, Image pack, Video, Local pack, Related searches","1.00,0.00,0.06,0.00,0.00,0.06,0.00,0.04,0.04,0.00,0.00,0.00"
anything com,0.05,40,40,0,0,7960000000,Informational,"Site links, Reviews, Indented, Image pack","1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17"
anything.com,0.05,40,46,0,0,8300000000,Navigational,"Site links, Reviews, Image pack","1.00,1.00,0.80,0.40,0.40,1.00,1.00,1.00,0.40,0.80,1.00,1.00"
anythingtruck,0.05,40,25,0,0.01,35,Navigational,"Site links, Reviews, Indented, Image, Image pack, Related searches","0.17,1.00,0.83,0.83,1.00,1.00,1.00,1.00,0.39,0.39,0.39,0.39"
auot part,0.05,40,100,0.72,0.25,4380000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, Local pack, Related searches, Ads bottom","1.00,0.00,0.07,0.00,0.07,0.00,0.14,0.00,0.14,0.07,0.00,0.00"
auto accessories com,0.05,40,40,0.56,1,555000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products","0.00,0.40,0.60,0.60,0.60,1.00,0.80,1.00,0.80,1.00,1.00,1.00"
auto anthing,0.05,40,69,9,0.28,634000,Navigational,"Site links, Reviews, Image, Knowledge panel, Related searches, Ads top","0.07,0.11,1.00,0.07,0.07,0.07,0.07,0.07,0.03,0.03,0.07,0.03"
auto oart store,0.05,40,100,0.47,0.23,63,Commercial,"Site links, Reviews, Indented, Image pack, Local pack, Related searches","0.11,0.00,0.44,0.55,0.22,0.55,0.55,0.44,1.00,0.77,0.77,0.77"
auto part auto parts,0.05,40,100,1.02,0.44,1220000000,Commercial,"Site links, Reviews, Indented, Image, Video carousel, People also ask, Local pack, Related searches","0.00,0.22,0.00,0.44,0.55,0.77,1.00,0.33,0.55,0.77,0.22,0.77"
auto part sites,0.05,40,100,0.83,0.76,816000000,Commercial,"Site links, Reviews, Indented, Video carousel, People also ask, Local pack, Related searches, Ads bottom","0.60,0.80,0.80,0.60,1.00,0.60,0.80,0.60,0.60,0.80,0.60,0.60"
auto parts and,0.05,40,100,0,0.11,1660000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Local pack, Related searches","0.18,0.18,0.18,0.18,1.00,1.00,1.00,0.18,0.18,0.18,0.18,0.18"
auto parts online companies,0.05,40,99,1.11,0.63,581000000,Commercial,"Site links, Reviews, Indented, Video, People also ask, Related searches","0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.27"
auto stuff,0.05,40,29,0.62,0.82,815000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, Local pack, Related searches, Popular products","0.18,0.18,0.18,0.27,1.00,0.18,0.18,1.00,1.00,0.18,0.18,0.18"
auto-part,0.05,40,100,0.72,0.25,3390000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, Video carousel, Local pack, Related searches","0.57,0.43,0.57,0.00,0.43,0.71,0.57,1.00,1.00,0.71,0.71,1.00"
auto.anything,0.05,40,67,9,0.28,1600000000,Navigational,"Site links, Reviews, Indented, Video, Knowledge panel, Ads top","1.00,1.00,0.80,0.80,1.00,0.59,0.39,0.59,0.59,0.80,0.59,0.39"
autoan,0.05,40,28,4.97,0.15,3420000,Navigational,"Site links, Indented, Image, Image pack, Video, Related searches, Ads top","1.00,1.00,0.80,0.80,0.80,0.60,0.60,0.60,0.80,0.80,0.40,1.00"
best aftermarket parts website,0.05,40,72,0.54,0.48,31800000,Commercial,"Site links, FAQ, Image, Video, People also ask, Related searches, Ads top, Ads bottom","0.71,0.57,1.00,0.71,0.57,0.42,0.28,0.28,0.28,0.28,0.28,0.71"
best car accessory gifts,0.05,40,57,0.22,0.98,17300000,"Informational, Commercial","Image, Video, Related searches, Popular products","0.09,0.09,0.09,0.09,0.09,0.09,0.09,1.00,0.52,0.09,0.09,0.09"
best road trip car accessories,0.05,40,33,0.22,1,104000000,Commercial,"Site links, Image, Related searches","0.17,0.06,1.00,1.00,0.17,0.00,0.00,0.17,0.17,0.17,0.17,1.00"
best winter car accessories,0.05,40,37,0,1,92800000,Commercial,"Image, People also ask, Related searches","0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18"
burns high school anything but a car,0.05,40,6,0,0,40300000,Informational,"Image, Image pack, Video, Related searches","0.00,1.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.09,0.00"
buy car on amazon,0.05,40,45,1.75,0.26,99,Transactional,"FAQ, Reviews, Indented, Image pack, People also ask, Related searches, Shopping ads","0.06,0.00,0.21,0.50,0.35,1.00,0.00,0.14,0.21,0.06,0.21,0.06"
buying parts online,0.05,40,90,1.17,0.56,586000000,Transactional,"Site links, Image, Video, People also ask, Related searches, Ads bottom","0.28,0.57,0.57,0.57,1.00,1.00,0.71,0.42,0.57,0.71,1.00,0.00"
cam used parts,0.05,40,17,0,0.03,248000000,Informational,"Reviews, Image, Image pack, Knowledge panel, Popular products","1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
car accessories for new drivers,0.05,40,44,0.18,0.95,83900000,Commercial,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","0.18,0.18,0.18,0.18,0.18,0.27,0.45,1.00,1.00,0.27,0.18,0.18"
car accessories for teenage girl,0.05,40,42,0,0,74,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.18,0.45,0.64,1.00,0.64,0.64,0.64,0.45,0.00,0.00,0.00,0.00"
car accessories funny,0.05,40,31,0.26,1,84,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
car accessories in new york,0.05,40,27,0,0.01,124000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, People also ask, Local pack, Related searches","1.00,0.14,0.14,1.00,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14"
car acer,0.05,40,79,1.33,0.21,731000000,Informational,"Site links, Reviews, Indented, Image pack, Video carousel, People also ask, Related searches","0.06,0.00,0.06,1.00,0.35,0.21,0.28,0.13,0.13,0.13,0.00,0.06"
car dash parts dot com,0.05,40,57,0.46,0.18,70,Navigational,"Site links, Reviews, Indented, Image, Image pack, Related searches","0.11,0.11,0.11,0.11,0.17,0.17,0.11,1.00,0.23,0.41,0.11,0.29"
car i d,0.05,40,68,0.92,0.09,2740000000,Navigational,"Site links, Reviews, Image, Knowledge panel, Related searches","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
car modification websites,0.05,40,66,1.02,0.29,21100000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches","0.71,0.14,0.29,0.29,0.57,0.57,0.71,0.57,0.57,1.00,0.43,1.00"
car modified shop,0.05,40,61,1.86,0.15,88500000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Local pack, Related searches","0.17,0.17,0.17,0.17,1.00,0.17,1.00,1.00,0.17,0.17,0.17,0.17"
car office accessories,0.05,40,29,0.25,1,225000000,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","1.00,0.12,0.12,0.12,0.65,0.12,0.12,0.12,0.18,0.12,0.12,0.12"
car parts comcom,0.05,40,74,1.7,0.23,1960000,Navigational,"Site links, Reviews, Indented, Image, Video, Related searches","0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.64,0.64,0.64,1.00,1.00"
car parts from amazon,0.05,40,65,0.34,0.87,87,Navigational,"Image, Image pack, Video, People also ask, Related searches, Shopping ads","0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.00,1.00,0.09"
car spare,0.05,40,90,0.7,1,296000000,Commercial,"Site links, Reviews, Image, Image pack, Video carousel, People also ask, Local pack, Related searches","0.00,0.00,0.00,1.00,0.00,0.66,0.00,0.00,0.33,0.00,0.00,0.04"
car thing hacks,0.05,40,31,0,0.04,36000000,Informational,"Site links, Reviews, Video, People also ask, Related searches","0.00,0.00,0.00,0.00,0.64,0.64,1.00,0.23,0.11,0.11,0.11,0.11"
car-truck-accessories.com,0.05,40,41,0,1,130000000,Informational,"Site links, Reviews, Image, Image pack, Local pack, Ads bottom","1.00,0.11,0.11,0.11,0.11,0.64,0.00,0.11,0.11,0.00,0.11,0.11"
car.parts store,0.05,40,100,0.71,0.39,69,Commercial,"Site links, Indented, Image, Image pack, Video, People also ask, Local pack, Related searches","0.14,0.00,0.42,0.28,0.42,0.42,0.71,0.42,0.57,0.71,1.00,1.00"
carid autoparts,0.05,40,60,0.8,0.66,1510000,Navigational,"Site links, Reviews, Indented, Image, People also ask, Knowledge panel, Related searches","0.56,0.78,0.44,1.00,0.78,0.00,0.11,0.00,0.00,0.00,0.00,0.00"
carid com wheels,0.05,40,61,0.5,1,4030000,Transactional,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches","0.79,0.21,0.21,0.21,0.21,1.00,1.00,0.21,0.21,0.21,0.21,0.21"
carid.com & id brands,0.05,40,67,1.25,0.14,87,Navigational,"Site links, FAQ, Reviews, Indented, Image pack, Video, People also ask, Related searches","0.42,0.00,0.00,0.00,0.28,1.00,0.71,1.00,0.28,1.00,0.71,0.28"
carid.com parts,0.05,40,48,0.94,0.83,75,Navigational,"Site links, Reviews, Image, Image pack, People also ask, Related searches","0.11,0.05,0.05,0.00,0.00,0.11,1.00,0.41,0.17,0.64,0.17,0.17"
caridid,0.05,40,13,2.26,0.15,89,"Informational, Commercial","Site links, Reviews, Indented, Related searches","0.18,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,1.00,0.18,0.18"
carros pickup,0.05,40,65,0.57,1,54000000,Informational,"Site links, Reviews, Image, Image pack, People also ask, Related searches","0.79,0.59,0.79,0.79,1.00,0.59,0.79,0.59,0.59,1.00,1.00,0.79"
cars ???????,0.05,40,19,0,0,89500000,Informational,"FAQ, Reviews, Video, Knowledge panel, Related searches","0.11,0.11,0.23,1.00,0.11,0.11,0.00,0.23,0.64,0.11,0.11,0.00"
cheap parts for cars online,0.05,40,79,0.77,1,557000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches","1.00,1.00,0.00,0.00,0.56,0.00,0.00,0.00,0.14,0.56,0.70,1.00"
cheap parts store,0.05,40,84,0.77,0.55,496000000,Commercial,"Site links, Reviews, Indented, Image, Video, People also ask, Local pack, Related searches, Ads bottom","0.17,0.17,0.17,0.17,0.17,1.00,0.17,1.00,0.17,0.17,0.17,0.17"
cheep parts .com,0.05,40,74,0.94,0.42,74,Commercial,"Site links, Reviews, Indented, Image pack, Video, People also ask, Ads bottom","1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11"
chewy car seat covers,0.05,40,27,1.2,1,59,Transactional,"Reviews, Indented, Video, Related searches, Popular products, Ads bottom","1.00,0.14,0.06,0.14,0.14,0.35,0.14,0.35,0.21,0.79,0.35,0.64"
claw vfire battery amazon,0.05,40,11,0,0.02,25,Informational,"Site links, Indented, Image, Video, Related searches","1.00,0.70,0.70,0.42,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
cool stuff for trucks,0.05,40,33,0.35,1,19400000,Commercial,"Site links, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.33,0.44,0.44,0.44,0.55,0.33,0.55,0.77,1.00,0.11,0.33,0.44"
coolest accessories,0.05,40,50,0.32,1,532000000,Commercial,"Indented, Image, Video, People also ask, Related searches, Popular products","0.02,0.00,0.02,0.00,0.00,0.05,1.00,0.00,0.00,0.02,0.00,0.02"
cx 5 all weather mats,0.05,40,16,0.57,1,63,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads, Ads bottom","0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11"
cx5 all weather mats,0.05,40,8,0.52,1,62,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads","0.71,0.56,0.56,0.56,0.41,0.71,0.56,1.00,0.71,0.41,0.56,0.41"
dashboard accessories funny,0.05,40,29,0.22,1,52,Informational,"Indented, Image, Image pack, Video, Related searches, Popular products","0.70,0.70,1.00,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28"
decorated car interior,0.05,40,51,0.21,1,29200000,Informational,"Reviews, Indented, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products","1.00,1.00,0.70,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
ebay .com auto parts,0.05,40,71,0.52,0.79,538000,"Navigational, Transactional","Site links, Reviews, Image, Video, Related searches","0.00,0.27,0.27,0.17,0.17,1.00,0.64,0.27,0.27,0.45,0.17,0.17"
ebay car parts and accessories,0.05,40,62,0.26,0.44,43,"Navigational, Transactional","Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.09,0.36,0.09,0.09,0.00,0.81,1.00,0.27,0.18,0.18,0.18,1.00"
ebay las vegas auto parts,0.05,40,77,0.32,0.26,49,"Navigational, Transactional","Site links, Reviews, People also ask, Related searches","0.36,1.00,0.18,0.27,0.18,0.27,0.18,0.45,0.18,0.18,0.18,0.18"
ebay las vegas cars,0.05,40,67,0.55,0.31,72,"Navigational, Transactional","Site links, Reviews, Indented, Image, Image pack, People also ask, Related searches, Shopping ads","1.00,1.00,0.18,0.27,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
ebay motor sales,0.05,40,82,0.9,0.61,43300000,Transactional,"Site links, Reviews, Image, Video carousel, People also ask, Related searches","0.83,0.83,0.61,1.00,0.17,0.17,0.61,0.17,0.17,0.00,0.17,0.61"
ebay motors las vegas,0.05,40,63,0.68,0.16,63,"Navigational, Transactional","Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches","0.18,0.18,0.18,0.36,0.18,0.45,0.18,1.00,1.00,0.27,0.27,1.00"
ebay motors motors,0.05,40,77,0.83,0.19,85,"Navigational, Transactional","Site links, Reviews, Video, Video carousel, People also ask, Related searches","1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
ebay motors.co,0.05,40,84,0.57,0.1,90,"Navigational, Transactional","Site links, Reviews, Indented, Video, Video carousel, People also ask","0.07,0.07,0.28,0.14,0.07,0.07,0.21,0.07,0.50,1.00,0.78,0.35"
ebay toyota parts,0.05,40,46,0.4,1,43,"Navigational, Transactional","Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.09,0.09,0.09,0.09,0.09,0.09,0.52,0.09,1.00,0.09,0.09,0.52"
ebay usa shopping,0.05,40,91,0,0.55,178000000,"Navigational, Transactional","Site links, Reviews, Image, People also ask, Related searches","0.60,1.00,0.80,1.00,0.80,0.40,0.40,0.40,0.40,0.40,0.40,0.40"
ebay used auto parts and accessories,0.05,40,72,0.56,0.66,48,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
ebaymotors parts,0.05,40,75,0.36,0.62,66,"Navigational, Transactional","Site links, Reviews, Image, Video, Related searches","0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,1.00,0.00"
everything.com,0.05,40,58,0,0.12,9740000000,Informational,"Site links, Reviews, Indented, Image pack, People also ask","0.07,1.00,0.00,0.45,0.00,0.45,0.36,0.45,0.26,0.00,0.00,0.81"
flower car accessories,0.05,40,20,0.19,1,92,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00"
fun things to keep in your car,0.05,40,41,0.16,0.95,678000000,Informational,"Site links, Indented, Image, Video, People also ask, Related searches, Ads bottom","0.18,1.00,0.45,1.00,0.18,0.18,0.18,0.18,0.27,0.27,0.36,0.18"
funny car gadgets,0.05,40,31,0.35,1,56,Informational,"Reviews, Image, Image pack, Video, Related searches, Popular products","0.18,0.18,0.18,0.18,0.18,1.00,0.18,1.00,1.00,0.18,0.18,0.18"
gifts for miata owners,0.05,40,11,0.35,1,77,Commercial,"Site links, Reviews, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom","0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.64,0.11,0.11,0.11"
greek auto parts online,0.05,40,67,0.82,0.53,40100000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Related searches, Ads bottom","0.18,0.18,1.00,1.00,1.00,0.18,0.18,0.18,0.27,0.18,0.18,0.18"
hanging car decor,0.05,40,30,0.22,1,56,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.00,0.00,0.44,0.78,0.00,1.00,0.78,0.78,0.00,0.55,0.22,0.22"
head up display amazon,0.05,40,35,0,1,61,"Navigational, Transactional","Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,0.78,0.55,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22"
hybrid car accessories,0.05,40,21,0.2,0.88,94000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
i ride hud amazon,0.05,40,44,0,0.43,10800000,Transactional,"Reviews, Indented, Image, Image pack, Video, Related searches","0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
icard parts,0.05,40,21,0.98,0.25,16100000,Navigational,"Site links, Reviews, Indented, Image pack, Video, Related searches","0.25,0.36,0.18,0.18,0.25,0.18,0.18,0.18,0.18,1.00,1.00,1.00"
idauto,0.05,40,11,0,0.02,535000,Informational,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches","0.58,1.00,1.00,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83"
indie car decor,0.05,40,23,0.18,1,34,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads","1.00,1.00,1.00,0.55,0.33,0.21,0.21,0.21,0.21,0.21,0.21,0.21"
interior car shops near me,0.05,40,51,1.39,0.28,149000000,Transactional,"Site links, Reviews, Video, Local pack, Related searches","0.00,1.00,0.00,0.03,0.03,0.09,0.00,0.12,0.09,0.00,0.00,0.09"
ised car parts,0.05,40,70,0.52,0.18,2490000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Related searches","0.54,0.75,1.00,0.75,0.75,0.43,0.11,0.00,0.11,0.11,0.21,0.32"
mazda 3 hatchback parts,0.05,40,39,0.43,1,32500000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
mazda accessories online,0.05,40,53,0.46,1,41400000,Commercial,"Site links, Indented, Image, Image pack, Related searches, Popular products, Ads bottom","1.00,0.83,0.42,0.58,0.58,0.58,0.58,0.58,0.83,0.58,0.83,0.58"
mazda cargo mat,0.05,40,18,0.49,1,73,Commercial,"Reviews, Indented, Image, Video, Related searches, Popular products","1.00,0.71,0.59,0.59,0.71,0.59,0.29,0.29,0.59,0.59,0.59,0.41"
mazda cx 5 carpet mats,0.05,40,17,0,0,67,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.00,0.00,0.11"
mazda cx-5 2022 accessories,0.05,40,21,0.44,1,92,Commercial,"Site links, Reviews, Indented, Image pack, Video, People also ask, Related searches, Popular products","0.11,1.00,0.11,0.11,0.64,0.11,0.11,0.11,0.17,0.17,0.11,0.11"
mazda floor mats cx-5,0.05,40,13,0.75,1,95,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products","1.00,1.00,0.57,0.00,0.57,0.42,0.14,0.42,0.42,0.71,0.57,0.28"
mazda mats,0.05,40,20,0.53,1,87,Commercial,"Reviews, Indented, Image, Image pack, Video, Related searches, Popular products, Ads bottom","1.00,0.40,0.40,0.40,1.00,0.80,1.00,0.80,0.60,1.00,0.60,1.00"
mercedes accessories amazon,0.05,40,31,0.36,1,42,"Navigational, Transactional","Image, Video, Related searches, Shopping ads","0.33,0.56,0.56,0.44,0.00,1.00,1.00,0.56,1.00,0.22,0.22,0.56"
mercedes benz accessories on amazon,0.05,40,28,0.43,1,36,Transactional,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","0.00,0.00,0.00,0.00,1.00,0.04,0.42,0.00,0.00,0.42,0.00,0.00"
mushroom car decor,0.05,40,19,0.16,1,44,Commercial,"Reviews, Indented, Image, Image pack, Related searches, Popular products","0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00,1.00,0.17,0.17"
must have car tools,0.05,40,31,0.32,1,646000000,Informational,"Image, Related searches, Popular products","0.36,0.27,0.36,0.18,0.18,0.18,0.45,0.45,1.00,0.45,0.18,0.18"
name an accessory you might buy at a car wash,0.05,40,5,0,0,12900000,Commercial,"Reviews, Image pack","1.00,1.00,0.45,0.09,0.09,0.18,0.45,0.18,0.18,0.18,0.00,0.18"
natural life car,0.05,40,13,5.98,1,1530000000,Navigational,"Site links, Reviews, Image, Image pack, Video carousel, Related searches, Ads bottom","0.57,0.71,0.57,1.00,0.71,0.57,0.28,0.42,0.42,0.42,0.42,1.00"
online auto parts ebay,0.05,40,68,0.62,1,97,"Navigational, Commercial","Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom","1.00,1.00,0.77,0.22,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00"
ordering auto parts online,0.05,40,89,1.18,0.85,144000000,Informational,"Site links, FAQ, Reviews, Indented, Video carousel, People also ask, Related searches, Ads bottom","0.05,0.00,0.02,0.02,0.05,0.00,0.02,0.00,1.00,0.02,0.05,0.02"
parts cars for sale on ebay,0.05,40,73,0.35,0.66,54,Transactional,"Site links, Reviews, Image, Image pack, Related searches","0.00,0.00,0.36,0.36,0.81,0.63,1.00,0.45,0.45,0.36,0.45,0.63"
parts sale,0.05,40,88,0.93,0.08,2050000000,Transactional,"Site links, Indented, Image, People also ask, Local pack, Related searches","0.00,0.71,1.00,0.57,0.71,0.42,0.57,0.42,0.42,0.71,0.42,0.42"
pet car accessories,0.05,40,39,0.45,1,140000000,Commercial,"Site links, Reviews, Image, People also ask, Related searches, Popular products","0.14,0.14,0.07,1.00,0.21,0.14,0.07,0.21,0.28,0.07,0.21,0.14"
pink car accessories amazon,0.05,40,28,0.11,1,28,"Navigational, Transactional","Reviews, Image, Image pack, Video, People also ask, Popular products","0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18"
rain x costco,0.05,40,25,0,0.81,81,Informational,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches","0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00,1.00,1.00,0.17,1.00"
shop for auto parts,0.05,40,100,0.83,0.28,85,Commercial,"Site links, Reviews, Indented, Video, People also ask, Local pack, Related searches, Popular products","0.58,0.58,0.73,0.73,1.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00"
stickers para trocas ford,0.05,40,22,0,1,30,Commercial,"Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products","0.28,0.14,1.00,0.14,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14"
surf car accessories,0.05,40,0,0.2,1,18600000,Commercial,"Indented, Image, Image pack, Video, Related searches, Popular products","0.18,0.18,0.18,0.00,0.18,0.18,0.18,1.00,1.00,0.18,0.18,0.18"
teal truck accessories,0.05,40,18,0.85,1,75,Commercial,"Site links, Reviews, Indented, Image, Image pack, Related searches, Popular products","0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,1.00,0.18,0.36"
truck accessories every man needs,0.05,40,26,0.24,1,16600000,Informational,"Site links, Reviews, Indented, Image, Video, People also ask, Related searches","0.28,0.42,0.28,0.28,0.28,0.42,0.28,1.00,0.57,1.00,1.00,0.71"
truck and car parts,0.05,40,82,1.02,0.46,362000000,Navigational,"Site links, Reviews, Indented, Image, Related searches","1.00,1.00,1.00,0.40,0.80,0.60,0.80,0.60,0.60,0.80,0.60,0.60"
truck auto accessories,0.05,40,36,1.12,0.53,108000000,Commercial,"Site links, Indented, Image pack, Local pack, Related searches, Popular products","0.71,0.71,1.00,1.00,0.29,0.00,0.14,0.43,0.57,0.14,0.43,0.14"
truck parts ebay,0.05,40,79,0.4,0.98,49,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, People also ask, Related searches, Popular products, Shopping ads","0.00,0.00,0.00,0.00,0.00,0.63,1.00,0.00,0.37,0.27,0.00,0.44"
used auto body parts online free shipping,0.05,40,62,0.62,0.72,34800000,Commercial,"Site links, Reviews, People also ask","0.36,0.36,0.27,0.27,0.18,1.00,0.27,0.18,0.18,0.18,0.36,0.18"
vehicle supplies,0.05,40,68,0.92,0.81,844000000,Commercial,"Site links, Indented, Image, Video, Local pack, Related searches, Ads bottom","0.18,0.18,1.00,0.18,0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18"
website to buy car parts,0.05,40,98,0.75,0.94,1370000000,Informational,"Featured snippet, Site links, Reviews, Indented, Video carousel, People also ask, Related searches","0.27,0.33,1.00,0.13,1.00,0.13,0.13,0.13,0.13,0.33,0.13,0.13"
